City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
157,Bemidji,US,2022-08-07 21:25:15,47.4736,-94.8803,67.37,82,100,0.0
158,Chuy,UY,2022-08-07 21:34:39,-33.6971,-53.4616,47.68,86,11,7.49
159,Ayan,RU,2022-08-07 21:34:39,56.45,138.1667,54.19,95,100,19.93
160,Xiongzhou,CN,2022-08-07 21:34:39,25.1167,114.3,75.72,95,78,1.5
161,Pangnirtung,CA,2022-08-07 21:34:40,66.1451,-65.7125,45.23,84,98,2.37
162,Ormara,PK,2022-08-07 21:34:40,25.2088,64.6357,80.91,88,100,11.56
163,Komsomolskiy,UZ,2022-08-07 21:32:51,40.4272,71.7189,79.23,25,6,2.98
164,Perambalur,IN,2022-08-07 21:34:41,11.2333,78.8833,77.92,74,100,13.27
165,Gorele,TR,2022-08-07 21:34:41,41.0308,39.0031,72.09,85,4,5.37
166,Muros,ES,2022-08-07 21:34:11,42.7762,-9.0603,70.68,93,45,2.21
167,Salaga,GH,2022-08-07 21:34:41,8.5508,-0.5188,78.46,65,86,4.47
168,Juneau,US,2022-08-07 21:34:42,58.3019,-134.4197,59.85,90,75,8.05
169,Yazman,PK,2022-08-07 21:34:42,29.1212,71.7446,92.7,55,82,5.46
170,Qaqortoq,GL,2022-08-07 21:34:42,60.7167,-46.0333,46.62,77,0,4.59
171,Laguna,US,2022-08-07 21:30:15,38.421,-121.4238,95.09,34,0,10.36
172,Gien,FR,2022-08-07 21:34:43,47.6933,2.6309,67.44,40,0,9.86
173,Male,MV,2022-08-07 21:30:50,4.1748,73.5089,82.35,89,75,12.66
174,Codrington,AU,2022-08-07 21:34:43,-38.2667,141.9667,38.26,88,5,7.2
175,Cayenne,GF,2022-08-07 21:34:44,4.9333,-52.3333,84.24,1,0,5.75
176,Betanzos,ES,2022-08-07 21:34:44,43.2804,-8.2147,77.65,72,0,2.3
177,Port Hedland,AU,2022-08-07 21:34:44,-20.3167,118.5667,53.65,62,0,8.05
178,Sao Felix Do Xingu,BR,2022-08-07 21:34:45,-6.6447,-51.995,85.46,43,86,1.36
179,Saskylakh,RU,2022-08-07 21:34:45,71.9167,114.0833,49.82,64,100,6.13
180,Santa Cruz,BO,2022-08-07 21:30:03,-17.8,-63.1667,69.85,94,100,10.36
181,Miri,MY,2022-08-07 21:30:17,4.4148,114.0089,77.14,94,20,3.44
182,Cidreira,BR,2022-08-07 21:34:56,-30.1811,-50.2056,58.77,90,100,11.56
183,Lagoa,PT,2022-08-07 21:34:56,39.05,-27.9833,73.81,82,14,17.6
184,Abdulino,RU,2022-08-07 21:34:57,53.7,53.6667,66.33,65,95,4.16
185,San Quintin,MX,2022-08-07 21:34:57,30.4833,-115.95,78.08,71,87,6.24
186,Arraial Do Cabo,BR,2022-08-07 21:34:57,-22.9661,-42.0278,73.36,83,100,4.61
187,Talnakh,RU,2022-08-07 21:34:58,69.4865,88.3972,54.21,95,100,6.17
188,Bonthe,SL,2022-08-07 21:34:19,7.5264,-12.505,75.6,87,83,9.06
189,Carauari,BR,2022-08-07 21:34:58,-4.8828,-66.8958,79.5,79,99,2.21
190,Esperance,AU,2022-08-07 21:33:47,-33.8667,121.9,48.63,85,0,13.38
191,Richards Bay,ZA,2022-08-07 21:34:58,-28.783,32.0377,66.09,96,84,6.82
192,Mataram,ID,2022-08-07 21:34:59,-8.5833,116.1167,70.61,82,17,8.5
193,Morant Bay,JM,2022-08-07 21:34:59,17.8815,-76.4093,87.71,67,60,9.24
194,Ponta Delgada,PT,2022-08-07 21:34:59,37.7333,-25.6667,72.32,94,40,6.91
195,Carnarvon,AU,2022-08-07 21:35:00,-24.8667,113.6333,61.75,79,0,11.25
196,Marawi,PH,2022-08-07 21:35:00,7.9986,124.2928,67.5,95,91,1.59
197,Pontianak,ID,2022-08-07 21:35:00,-0.0333,109.3333,75.18,94,77,2.3
198,Shizunai,JP,2022-08-07 21:35:01,42.3339,142.3669,72.01,94,99,10.18
199,Tianjin,CN,2022-08-07 21:35:01,39.1422,117.1767,80.55,83,75,11.18
200,Zhanaozen,KZ,2022-08-07 21:35:02,43.3,52.8,79.75,22,95,16.06
201,Lebu,CL,2022-08-07 21:35:02,-37.6167,-73.65,46.85,85,100,8.99
202,Yatou,CN,2022-08-07 21:35:02,37.15,122.3833,81.86,88,100,8.32
203,Banjarmasin,ID,2022-08-07 21:35:03,-3.3244,114.591,73.54,90,43,2.59
204,Saryozek,KZ,2022-08-07 21:35:03,44.3583,77.9753,67.87,42,72,3.22
205,Klaksvik,FO,2022-08-07 21:35:04,62.2266,-6.589,54.52,99,98,15.73
206,Bethel,US,2022-08-07 21:35:04,41.3712,-73.414,92.05,61,0,14.97
207,Marsh Harbour,BS,2022-08-07 21:35:04,26.5412,-77.0636,83.7,69,100,12.82
208,Igarka,RU,2022-08-07 21:35:05,67.4667,86.5833,56.84,80,100,6.8
209,Denpasar,ID,2022-08-07 21:30:20,-8.65,115.2167,76.71,94,40,5.75
210,Mana,GF,2022-08-07 21:35:05,5.6592,-53.7767,80.85,79,99,11.3
211,Tocopilla,CL,2022-08-07 21:32:44,-22.092,-70.1979,63.0,63,4,1.72
212,Korla,CN,2022-08-07 21:35:06,41.7597,86.1469,81.63,28,7,0.94
213,Margate,GB,2022-08-07 21:35:06,51.3813,1.3862,62.69,73,5,1.99
214,Usogorsk,RU,2022-08-07 21:35:06,63.4106,48.6872,62.2,97,75,6.42
215,Smithers,CA,2022-08-07 21:32:11,54.7804,-127.1743,73.72,38,75,0.0
216,San Javier,ES,2022-08-07 21:35:07,37.8063,-0.8374,82.47,71,0,2.3
217,Shunyi,CN,2022-08-07 21:35:07,40.125,116.6453,80.55,78,0,4.47
218,Poum,NC,2022-08-07 21:35:08,-20.2333,164.0167,74.86,82,1,12.44
219,Tura,IN,2022-08-07 21:35:08,25.5198,90.2201,74.23,98,99,5.5
220,Havoysund,NO,2022-08-07 21:35:08,70.9963,24.6622,50.23,85,100,20.6
221,Alice Springs,AU,2022-08-07 21:35:09,-23.7,133.8833,33.35,69,0,0.0
222,Banda Aceh,ID,2022-08-07 21:30:33,5.5577,95.3222,78.84,73,91,13.51
223,Bac Lieu,VN,2022-08-07 21:35:09,9.285,105.7244,78.15,86,100,7.52
224,Piet Retief,ZA,2022-08-07 21:35:10,-27.0071,30.8132,50.61,94,8,2.48
225,Kungurtug,RU,2022-08-07 21:35:10,50.5994,97.5228,46.08,57,87,1.45
226,Wawina,HN,2022-08-07 21:35:10,15.4167,-84.4333,79.18,91,100,5.08
227,Horta,PT,2022-08-07 21:35:11,38.5333,-28.6333,73.6,83,40,13.91
228,Lesosibirsk,RU,2022-08-07 21:35:11,58.2358,92.4828,59.29,80,100,1.63
229,Cherskiy,RU,2022-08-07 21:35:22,68.75,161.3,44.2,60,94,1.92
230,Pevek,RU,2022-08-07 21:35:22,69.7008,170.3133,32.45,94,100,16.33
231,Mago,RU,2022-08-07 21:35:23,53.2514,140.1822,64.13,92,100,5.82
232,Hasaki,JP,2022-08-07 21:35:23,35.7333,140.8333,79.29,87,9,12.1
233,Eureka,US,2022-08-07 21:35:23,40.8021,-124.1637,76.68,81,90,5.01
234,Batagay,RU,2022-08-07 21:35:24,67.6333,134.6333,64.27,74,98,3.91
235,Sao Joao Da Barra,BR,2022-08-07 21:35:24,-21.6403,-41.0511,75.29,89,16,14.94
236,Janakkala,FI,2022-08-07 21:35:24,60.9,24.6,53.8,81,9,3.18
237,Airai,TL,2022-08-07 21:35:25,-8.9266,125.4092,57.42,57,15,3.02
238,Hamilton,US,2022-08-07 21:35:25,39.1834,-84.5333,90.01,71,20,4.61
239,Tutoia,BR,2022-08-07 21:35:25,-2.7619,-42.2744,79.3,82,27,12.88
240,Puri,IN,2022-08-07 21:35:26,19.8,85.85,81.12,84,72,5.46
241,Boyuibe,BO,2022-08-07 21:35:26,-20.4167,-63.2833,67.1,65,100,4.21
242,Umm Lajj,SA,2022-08-07 21:35:26,25.0213,37.2685,94.06,51,100,4.68
243,Ca Mau,VN,2022-08-07 21:32:43,9.1769,105.15,76.08,92,100,4.07
244,Buala,SB,2022-08-07 21:35:27,-8.145,159.5921,82.17,73,98,1.95
245,Amalapuram,IN,2022-08-07 21:35:27,16.5833,82.0167,76.53,94,100,10.49
246,Port-Gentil,GA,2022-08-07 21:35:28,-0.7193,8.7815,71.56,88,20,3.44
247,Quelimane,MZ,2022-08-07 21:32:23,-17.8786,36.8883,67.95,88,0,0.0
248,Lubumbashi,CD,2022-08-07 21:35:15,-11.6609,27.4794,60.26,46,0,5.26
249,Trat,TH,2022-08-07 21:35:28,12.5,102.5,78.87,99,100,4.36
250,Kikwit,CD,2022-08-07 21:35:29,-5.041,18.8162,80.06,28,77,0.29
251,Waipawa,NZ,2022-08-07 21:35:20,-41.4122,175.5153,48.27,95,100,14.83
252,Te Anau,NZ,2022-08-07 21:33:14,-45.4167,167.7167,34.72,87,20,7.05
253,Sangar,RU,2022-08-07 21:35:29,63.9242,127.4739,51.4,94,41,4.56
254,Shenzhen,CN,2022-08-07 21:29:56,22.5455,114.0683,84.27,87,77,6.17
255,Buenos Aires,AR,2022-08-07 21:32:03,-34.6132,-58.3772,51.94,76,20,20.71
256,Jardim,BR,2022-08-07 21:35:30,-21.4803,-56.1381,72.27,70,100,1.92
257,Ketchikan,US,2022-08-07 21:35:30,55.3422,-131.6461,64.87,63,40,10.36
258,Adrar,MR,2022-08-07 21:35:31,20.5022,-10.0711,101.26,17,71,5.53
259,Moron,AR,2022-08-07 21:35:31,-34.6534,-58.6198,52.93,77,94,10.71
260,Sao Filipe,CV,2022-08-07 21:35:31,14.8961,-24.4956,79.52,84,95,6.24
261,San Ignacio,BZ,2022-08-07 21:35:32,17.1561,-89.0714,75.34,94,0,0.0
262,Balaipungut,ID,2022-08-07 21:35:32,1.05,101.2833,73.69,99,93,0.89
263,Prince Rupert,CA,2022-08-07 21:35:32,54.3161,-130.3201,60.89,79,100,12.66
264,Ostrovnoy,RU,2022-08-07 21:35:33,68.0531,39.5131,52.75,75,100,18.59
265,Rio Negrinho,BR,2022-08-07 21:35:33,-26.2544,-49.5183,55.94,99,100,2.62
266,Salalah,OM,2022-08-07 21:35:33,17.0151,54.0924,75.29,100,100,3.44
267,Asilah,MA,2022-08-07 21:35:34,35.465,-6.0348,73.36,79,0,4.65
268,Sibolga,ID,2022-08-07 21:35:34,1.7427,98.7792,75.24,88,96,3.0
269,Seddon,AU,2022-08-07 21:35:34,-37.8068,144.8916,47.21,89,0,10.36
270,Urumqi,CN,2022-08-07 21:35:35,43.801,87.6005,76.15,38,0,4.47
271,Nishihara,JP,2022-08-07 21:35:35,26.1842,127.7558,81.68,81,20,4.61
272,Dickson,US,2022-08-07 21:31:41,36.077,-87.3878,81.97,78,0,4.61
273,Montefiascone,IT,2022-08-07 21:35:36,42.5393,12.0362,65.39,88,100,5.32
274,Paamiut,GL,2022-08-07 21:35:36,61.994,-49.6678,43.3,88,3,18.92
275,Victoria,HK,2022-08-07 21:33:18,22.2855,114.1577,83.32,91,86,1.01
276,Lockport,US,2022-08-07 21:35:46,41.5895,-88.0578,80.82,93,75,10.36
277,Maba,CN,2022-08-07 21:35:47,24.6841,113.5984,78.19,86,98,0.29
278,Boca Raton,US,2022-08-07 21:33:47,26.3587,-80.0831,89.64,72,40,12.66
279,Lompoc,US,2022-08-07 21:35:37,34.6391,-120.4579,87.69,63,0,28.01
280,Caucaia,BR,2022-08-07 21:35:48,-3.7361,-38.6531,80.55,76,20,12.66
281,Malidong,PH,2022-08-07 21:35:48,13.0133,123.4596,77.81,85,100,3.42
282,Safaga,EG,2022-08-07 21:35:48,26.7292,33.9365,89.83,40,4,8.59
283,Port Elizabeth,ZA,2022-08-07 21:35:49,-33.918,25.5701,61.32,99,100,10.36
284,Alofi,NU,2022-08-07 21:33:02,-19.0595,-169.9187,80.49,69,7,11.5
285,Ancud,CL,2022-08-07 21:35:49,-41.8697,-73.8203,45.23,76,12,1.52
286,Izvoarele,RO,2022-08-07 21:35:49,45.0333,25.2667,74.05,99,92,4.12
287,Barcelona,ES,2022-08-07 21:33:38,41.3888,2.159,82.85,62,0,10.36
288,Maldonado,UY,2022-08-07 21:35:50,-34.6667,-54.9167,49.39,89,65,6.44
289,Monclova,MX,2022-08-07 21:31:50,26.9,-101.4167,96.71,24,15,13.11
290,Bacalan,PH,2022-08-07 21:35:50,11.5464,122.0849,74.14,80,100,5.35
291,Manggar,ID,2022-08-07 21:35:51,-2.8833,108.2667,79.25,79,14,10.71
292,Basco,PH,2022-08-07 21:35:51,20.4487,121.9702,84.45,76,100,17.94
293,Bartica,GY,2022-08-07 21:35:52,6.4,-58.6167,86.32,86,93,5.41
294,Arlit,NE,2022-08-07 21:35:52,18.7369,7.3853,100.63,18,100,8.93
295,Kefamenanu,ID,2022-08-07 21:35:52,-9.4467,124.4781,68.09,90,47,3.13
