City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
139,Faya,SA,18.3851,42.4509,69.91,62,97,4.56,overcast clouds
140,Dikson,RU,73.5069,80.5464,45.0,100,100,6.96,overcast clouds
141,Bambanglipuro,ID,-7.95,110.2833,75.18,92,58,1.66,broken clouds
142,Mata,PT,40.683,-7.4592,63.77,87,0,5.5,clear sky
143,Banda Aceh,ID,5.5577,95.3222,78.51,78,90,7.63,overcast clouds
144,Constitucion,CL,-35.3333,-72.4167,52.83,91,72,7.74,broken clouds
145,Chernyshevskiy,RU,63.0128,112.4714,46.15,87,100,3.65,light rain
146,Tual,ID,-5.6667,132.75,80.1,79,48,21.43,scattered clouds
147,Kismayo,SO,-0.3582,42.5454,74.79,84,77,14.88,broken clouds
148,Souillac,MU,-20.5167,57.5167,66.58,82,75,16.11,broken clouds
149,Qaanaaq,GL,77.484,-69.3632,42.87,69,100,13.02,overcast clouds
150,Ballina,AU,-28.8667,153.5667,58.01,72,0,8.41,clear sky
151,Castro,BR,-24.7911,-50.0119,56.12,74,100,3.42,overcast clouds
152,Klaksvik,FO,62.2266,-6.589,52.72,87,100,8.81,overcast clouds
153,Avera,US,33.194,-82.5271,87.55,38,99,6.02,overcast clouds
154,Kotli Loharan,PK,32.5883,74.4932,87.69,84,32,1.01,smoke
155,Tuatapere,NZ,-46.1333,167.6833,41.27,72,2,4.27,clear sky
156,Tautira,PF,-17.7333,-149.15,77.23,78,75,14.65,light rain
157,Atuona,PF,-9.8,-139.0333,77.43,72,11,19.46,few clouds
158,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,76.75,90,100,2.62,overcast clouds
159,Jamestown,US,42.097,-79.2353,75.02,50,0,11.5,clear sky
160,Kwinana,AU,-32.25,115.7667,50.18,60,41,7.94,scattered clouds
161,Okhotsk,RU,59.3833,143.3,57.79,95,100,5.32,light rain
162,Merauke,ID,-8.4667,140.3333,77.54,83,89,10.85,overcast clouds
163,Mar Del Plata,AR,-38.0023,-57.5575,59.02,60,0,17.0,clear sky
164,Huautla,MX,21.0333,-98.2833,90.28,41,100,9.86,overcast clouds
165,Cuiluan,CN,47.72,128.648,58.57,95,1,1.41,clear sky
166,Zhigansk,RU,66.7697,123.3711,48.49,76,100,13.67,overcast clouds
167,Cayenne,GF,4.9333,-52.3333,84.24,1,0,9.22,clear sky
168,Riyadh,SA,24.6877,46.7219,96.94,16,80,8.41,broken clouds
169,Narsaq,GL,60.9167,-46.05,46.9,96,100,2.35,light rain
170,Silver City,US,32.7701,-108.2803,73.36,70,75,13.8,light rain
171,Soyo,AO,-6.1349,12.3689,69.8,79,53,4.97,broken clouds
172,Rio Gallegos,AR,-51.6226,-69.2181,37.45,81,100,19.57,light rain
173,Totness,SR,5.8833,-56.3167,81.3,80,62,13.42,broken clouds
174,Mahon,ES,39.8885,4.2658,82.96,83,0,3.44,clear sky
175,Juneau,US,58.3019,-134.4197,63.21,88,100,14.97,overcast clouds
176,Talagang,PK,32.9297,72.4158,87.17,59,50,8.57,scattered clouds
177,Nemuro,JP,43.3236,145.575,67.14,98,100,9.55,light rain
178,Cap Malheureux,MU,-19.9842,57.6142,68.47,70,89,5.01,overcast clouds
179,Chokurdakh,RU,70.6333,147.9167,38.17,83,75,10.8,broken clouds
180,Arraial Do Cabo,BR,-22.9661,-42.0278,69.66,64,0,13.8,clear sky
181,Kruisfontein,ZA,-34.0033,24.7314,43.88,83,1,8.28,clear sky
182,Cockburn Town,TC,21.4612,-71.1419,84.16,70,40,9.22,scattered clouds
183,Seoul,KR,37.5683,126.9778,74.8,100,20,2.3,mist
184,Monte Patria,CL,-30.6919,-70.9467,65.7,39,0,4.81,clear sky
185,Portland,US,45.5234,-122.6762,81.57,47,20,7.0,few clouds
186,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.69,63,2,13.67,clear sky
187,Caohai,CN,26.8661,104.2841,58.14,96,17,3.96,few clouds
188,College,US,64.8569,-147.8028,73.08,62,75,0.0,broken clouds
189,Daru,PG,-9.0763,143.2092,77.5,88,24,9.04,few clouds
190,Okakarara,NA,-20.5833,17.4333,54.93,27,0,8.81,clear sky
191,Aykhal,RU,66.0,111.5,45.52,82,100,6.89,overcast clouds
192,Konotop,UA,51.2403,33.2026,71.17,54,80,12.62,broken clouds
193,Isangel,VU,-19.55,169.2667,71.71,88,75,0.0,broken clouds
194,Vardo,NO,70.3705,31.1107,53.58,82,75,8.05,light intensity shower rain
195,Yulara,AU,-25.2406,130.9889,46.8,48,0,3.87,clear sky
196,Mezen,RU,65.8522,44.24,47.7,87,76,4.36,broken clouds
197,Darnah,LY,32.767,22.6367,79.72,74,0,18.12,clear sky
198,Chambersburg,US,39.9376,-77.6611,82.42,38,26,5.99,scattered clouds
199,Khasan,RU,42.4308,130.6434,66.18,90,65,3.44,broken clouds
200,Umm Kaddadah,SD,13.6017,26.6876,84.13,53,99,11.97,light rain
201,Pindi Bhattian,PK,31.8978,73.273,87.78,62,2,6.53,clear sky
202,Bengkulu,ID,-3.8004,102.2655,74.91,89,99,3.51,light rain
203,Baruun-Urt,MN,46.6806,113.2792,57.45,90,100,6.42,overcast clouds
204,New Norfolk,AU,-42.7826,147.0587,52.92,87,100,5.99,moderate rain
205,Hovd,MN,48.0056,91.6419,59.38,46,5,6.73,clear sky
206,Katsuura,JP,35.1333,140.3,80.62,84,63,23.38,light rain
207,Umm Lajj,SA,25.0213,37.2685,84.87,71,79,11.34,broken clouds
208,Port Hardy,CA,50.6996,-127.4199,64.58,88,75,4.61,broken clouds
209,Guerrero Negro,MX,27.9769,-114.0611,84.51,52,1,13.82,clear sky
210,Mamontovo,RU,52.7055,81.6244,64.35,54,68,11.97,broken clouds
211,Zhuhai,CN,22.2769,113.5678,82.11,94,40,4.61,scattered clouds
212,Vryburg,ZA,-26.9566,24.7284,53.46,46,4,6.85,clear sky
213,Olafsvik,IS,64.8945,-23.7142,49.14,76,26,4.92,light rain
214,Turner,US,44.2565,-70.2562,73.13,71,93,1.99,overcast clouds
215,Kijang,KR,35.2442,129.2139,82.13,85,64,6.55,broken clouds
216,Broome,US,42.2506,-75.833,78.67,38,20,8.05,few clouds
217,Nyrob,RU,60.733,56.7202,53.82,67,100,5.37,overcast clouds
218,Forestville,US,38.8451,-76.875,84.92,36,0,5.75,clear sky
