City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
415,Zhezkazgan,KZ,70.9,clear sky,47.8043,67.7144,Hotel Zumrat
417,Kelowna,CA,86.65,clear sky,49.8831,-119.4857,Delta Hotels by Marriott Grand Okanagan Resort
419,Camopi,GF,78.89,overcast clouds,3.1655,-52.3158,La pousada
422,Caronport,CA,87.98,few clouds,50.4501,-105.8179,Pilgrim Inn
423,Port-Cartier,CA,71.82,overcast clouds,50.0334,-66.8654,Le Q'Artier
424,Piracuruca,BR,82.24,broken clouds,-3.9281,-41.7092,Pousada Piracuruca
426,Sioux Lookout,CA,78.87,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
427,Yen Bai,VN,76.17,broken clouds,21.7,104.8667,AK MOTEL
428,Marsh Harbour,BS,81.61,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
429,Sorong,ID,77.4,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
432,Kawalu,ID,71.01,overcast clouds,-7.3817,108.2082,West Jontor
434,North Bend,US,81.25,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
435,Jalu,LY,81.32,clear sky,29.0331,21.5482,صاحبة الفخامة
438,Three Hills,CA,89.67,clear sky,51.7001,-113.2686,Super 8 by Wyndham Three Hills AB
439,Jiayuguan,CN,70.97,overcast clouds,39.8167,98.3,Jiugang Hotel - Jiayuguan
441,Changji,CN,74.19,clear sky,44.0167,87.3167,Lvye Holiday Resort
444,Makakilo City,US,82.98,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
445,Presidente Epitacio,BR,72.57,clear sky,-21.7633,-52.1156,Hotel Itaverá
447,Yingcheng,CN,80.08,broken clouds,30.95,113.55,Yingcheng Hotel
450,Iquitos,PE,91.44,scattered clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
452,Komsomolskiy,UZ,74.12,clear sky,40.4272,71.7189,Ikathouse
455,Mabaruma,GY,76.91,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
456,Padang,ID,77.92,overcast clouds,-0.9492,100.3543,Mercure Padang
457,San Jose De Las Lajas,CU,76.12,moderate rain,22.9614,-82.1511,Hostal Spirit
460,Chiang Klang,TH,73.08,broken clouds,19.2938,100.8617,Sangthong Resort
463,Bodinayakkanur,IN,74.39,overcast clouds,10.0167,77.35,M.V. Lodge
464,Ambon,ID,77.14,broken clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
466,Kavieng,PG,81.73,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
468,Chabahar,IR,84.81,overcast clouds,25.2919,60.643,هتل گدروشیا
470,Cotonou,BJ,76.98,few clouds,6.3654,2.4183,Novotel Cotonou Orisha
471,Djibo,BF,92.34,broken clouds,14.1022,-1.6306,Centre Des Ressources DPENA
472,Luwuk,ID,76.14,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
474,Vicksburg,US,93.43,broken clouds,32.3526,-90.8779,La Quinta Inn & Suites by Wyndham Vicksburg
477,Mount Pleasant,US,87.06,few clouds,32.7941,-79.8626,Best Western Patriots Point
478,Puerto Ayacucho,VE,77.97,broken clouds,5.6639,-67.6236,Posada Turistica Manapiare
480,Kribi,CM,75.61,light rain,2.95,9.9167,Hotel Tara Plage
482,Oistins,BB,82.49,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
483,Margate,GB,73.11,clear sky,51.3813,1.3862,Premier Inn Margate hotel
484,Banjar,ID,75.72,overcast clouds,-8.19,114.9675,The Hamsa Resort
485,Ixtapa,MX,88.23,overcast clouds,20.7,-105.2,hotel la terminal
488,Port-Gentil,GA,75.16,scattered clouds,-0.7193,8.7815,Fengshui Residence
490,Tomatlan,MX,85.87,broken clouds,19.9333,-105.25,El Salvial
492,Nisia Floresta,BR,80.98,broken clouds,-6.0911,-35.2086,Rancho Crepusculo
493,Yulin,CN,75.85,scattered clouds,22.6333,110.15,罗弟天海大厦
494,Wanning,CN,78.58,scattered clouds,18.8003,110.3967,Paradise Hotel
498,Ponta Delgada,PT,77.5,few clouds,37.7333,-25.6667,Vila Nova Hotel
